nom_mes,nom_dia,arr_delay
Abr,Dc,8.353217599119239
Abr,Dg,4.424165690313315
Abr,Dj,10.515970179025583
Abr,Dl,2.4418814611980872
Abr,Ds,4.627017011467421
Abr,Dt,0.6378045232682176
Abr,Dv,8.097088701684836
Ago,Dc,3.4671767810026384
Ago,Dg,14.105378677341713
Ago,Dj,13.548076645739393
Ago,Dl,11.462393226062773
Ago,Ds,9.46118643098221
Ago,Dt,4.569692345423332
Ago,Dv,14.660797187311823
Des,Dc,2.9184744018896085
Des,Dg,8.983929134478954
Des,Dj,9.658802224149365
Des,Dl,3.3263174695009425
Des,Ds,11.596562026535265
Des,Dt,3.1232952278115538
Des,Dv,10.931119988979198
Feb,Dc,-2.857449120011588
Feb,Dg,4.213763810928559
Feb,Dj,-0.4330816161099023
Feb,Dl,1.8490553342663365
Feb,Ds,2.9497182078649917
Feb,Dt,-1.2163913672534363
Feb,Dv,-0.11919382984108377
Gen,Dc,4.416683665510745
Gen,Dg,10.89648566800479
Gen,Dj,3.708774468203509
Gen,Dl,13.365171919107778
Gen,Ds,10.008342974465936
Gen,Dt,16.25785197661746
Gen,Dv,13.431452526625877
Jul,Dc,15.089348143116847
Jul,Dg,23.328430887878188
Jul,Dj,12.406275888038158
Jul,Dl,20.753579184230954
Jul,Ds,15.296008224329405
Jul,Dt,14.8687920212874
Jul,Dv,25.467642000910423
Jun,Dc,13.637384058709612
Jun,Dg,14.617290437713775
Jun,Dj,11.257009402048949
Jun,Dl,9.810915341641598
Jun,Ds,9.884616216450029
Jun,Dt,11.821020340622693
Jun,Dv,11.361727190519252
Mai,Dc,12.994728907724259
Mai,Dg,11.534478338887464
Mai,Dj,20.10632324584628
Mai,Dl,14.963646955293068
Mai,Ds,7.238251002301313
Mai,Dt,14.369192860948322
Mai,Dv,14.669053113228014
Mar,Dc,2.45069757400761
Mar,Dg,9.567058070906764
Mar,Dj,8.837960245974841
Mar,Dl,3.8444162918857288
Mar,Ds,12.044313596697007
Mar,Dt,-2.16404061385408
Mar,Dv,8.458477385864771
Nov,Dc,-1.3634839087497006
Nov,Dg,-0.788555392874573
Nov,Dj,3.8972288594106175
Nov,Dl,0.035927331887201736
Nov,Ds,-1.4465214037362908
Nov,Dt,-4.022475908891809
Nov,Dv,1.1989672487751326
Oct,Dc,-4.611643879997408
Oct,Dg,1.049333159151099
Oct,Dj,0.3034955734646076
Oct,Dl,0.13086525024278167
Oct,Ds,-3.4034724021767295
Oct,Dt,-4.959831165026421
Oct,Dv,2.4735558801356956
Set,Dc,-1.3535619684929596
Set,Dg,3.3960346156125896
Set,Dj,2.4518540375725384
Set,Dl,1.6171660279487476
Set,Ds,-2.593428362899742
Set,Dt,-3.224547283702213
Set,Dv,4.5395648116312195
